ID;First name;Last name;Username;Phone Number;Is active;Country;Zip code
158;Dina;Cichocki;ginewra.góral;69-307-44-69;false;PL;57-628
2069;Koralia;Raczyński;polikarp.gołębiewski;53-020-99-81;true;PL;42-026
878;Julia;Wypych;apollo.polak;51-596-50-04;false;PL;33-853
973693;Baldwin;Staniszewski;konstanty.bogusz;51-591-87-09;false;PL;45-056
13;Ksawery;Iwański;małgorzata.białkowski;72-986-38-47;true;PL;48-187
8;Robert;Partyka;platon.mroczek;73-247-46-67;true;PL;04-229
94;Ireneusz;Sokołowski;walentyna.książek;69-884-59-61;false;PL;34-256
119335351;Krystyna;Głogowski;antonina.karwowski;51-201-08-92;true;PL;31-578
5;Serafina;Żuk;karolina.janas;51-158-03-24;false;PL;96-555
3757;Emil;Kaczmarski;onufry.więcek;72-692-82-16;true;PL;49-050
163148371;Paula;Bartkowiak;eleazar.czech;51-371-20-60;true;PL;77-306
900833;Olaf;Tracz;konstancja.kula;66-741-74-92;true;PL;93-502
45237;Janusz;Wójtowicz;ludwik.aleksandrowicz;79-141-45-55;true;PL;38-885
87125;Sara;Kłos;andżelika.kopeć;72-918-34-05;false;PL;99-437
70160;Emilia;Matuszewski;leon.bednarz;60-645-55-53;true;PL;27-538
54;Angela;Pietrzak;michalina.jarząbek;50-040-08-79;true;PL;92-128
1272;Sylwia;Wypych;laurencjusz.woliński;73-531-18-04;true;PL;93-105
6;Janina;Piłat;stella.brzozowski;66-991-26-84;true;PL;64-821
6347418;Liza;Noga;mojżesz.łukasiewicz;57-800-24-94;false;PL;13-104
420;Adrian;Kaczorowski;judyta.bielecki;66-119-93-56;false;PL;14-539
146;Luiza;Jakubowski;samuel.majewski;66-744-56-05;true;PL;30-582
70147;Karolina;Kita;luiza.musiał;72-161-86-52;true;PL;15-727
393248;Ida;Wojciechowski;mikołaj.kogut;60-130-50-25;false;PL;83-756
372803660;Zoe;Stec;róża.kwieciński;79-170-16-80;false;PL;84-372
40415853;Harald;Milczarek;magdalena.markiewicz;66-324-69-00;false;PL;06-422
73;Ferdynanda;Rusin;eustracjusz.kopeć;51-348-67-08;false;PL;68-048
74;Żaneta;Kubik;waleria.jagielski;73-109-02-69;true;PL;46-829
40614;Zygmunt;Pietrzak;monika.bagiński;78-537-21-92;true;PL;48-677
7527337;Cyra;Socha;stefania.sienkiewicz;73-832-57-23;false;PL;55-397
68361043;Alicja;Szczygieł;martyna.gutowski;88-726-01-29;false;PL;20-249
7801327;Archibald;Łukaszewski;izajasz.mikołajczak;66-400-97-88;true;PL;84-196
209680395;Fryderyk;Adamiec;gilbert.gałązka;57-633-97-08;true;PL;68-330
710358936;Fryderyk;Grzesik;teodora.krawiec;53-215-22-33;false;PL;96-785
8;Nina;Słowiński;wacław.skrzypczak;88-227-61-17;false;PL;40-788
212189;Sabina;Adamus;leon.woźniak;72-676-00-78;true;PL;41-476
9705;Agata;Tarnowski;zoe.partyka;88-721-84-34;true;PL;72-205
79;Izolda;Gruszczyński;bertram.jóźwik;60-016-73-27;false;PL;41-904
829115925;Karol;Andrzejczak;agnieszka.skrzypek;53-042-09-07;true;PL;91-356
365;Franciszka;Dudek;kazimierz.jaworski;79-732-18-69;true;PL;04-547
6530;Janusz;Siedlecki;walenty.pawłowski;51-040-09-47;false;PL;14-658
38339;Krystyna;Lewicki;anastazja.tokarski;53-184-53-09;true;PL;96-830
133014;Antonina;Gil;salwator.bartosik;50-621-77-32;false;PL;80-021
220;Salwator;Piotrowicz;bibiana.witek;60-707-90-34;true;PL;27-336
7229;Baldwin;Pietrzak;beatrycze.bieniek;78-817-98-46;false;PL;47-963
8201929;Izolda;Czekaj;klemens.kruszewski;66-828-40-00;true;PL;58-955
717627;Olimpia;Florek;ofelia.rudziński;78-058-41-99;true;PL;81-994
73743979;Magdalena;Żurawski;marianna.frątczak;73-590-49-72;true;PL;11-800
34547;Olga;Krajewski;stefania.kołodziejski;57-997-64-02;false;PL;28-470
999;Michalina;Szymański;marianna.drzewiecki;50-860-03-86;true;PL;78-846
24;Lucjan;Flis;gabriela.iwański;50-796-42-67;true;PL;96-335
5397967;Antoni;Stachowicz;helena.cichoń;72-699-64-49;false;PL;55-706
5;Klara;Góral;izydor.serafin;69-667-35-76;false;PL;49-788
64;Alina;Kowal;osmund.kołodziejski;78-095-55-39;true;PL;29-976
